tfidf_sim,sbert_sim,overlap,missing_count,keyword_matches,label
0.44393875187235265,0.6054255366325378,0.5,1,20,1
0.333880402404932,0.4826005697250366,0.0,0,18,1
0.20519608463268696,0.46378087997436523,0.0,0,9,1
0.25796558413179044,0.5585940480232239,0.0,0,25,0
0.47846632493649466,0.743716299533844,0.5,3,26,1
0.11962049122257709,0.4025347828865051,0.0,0,11,0
0.17338967967877714,0.26007115840911865,0.0,0,9,0
0.24670661215137188,0.4752228856086731,0.0,0,17,1
0.6438136661118089,0.6784310340881348,1.0,0,30,1
0.3686188647939225,0.5671877264976501,0.0,0,25,1
0.4677255004432471,0.6819143295288086,0.5,1,20,1
0.34395533508945536,0.5704779624938965,0.16666666666666666,5,25,1
0.4144505158057467,0.49896126985549927,1.0,0,21,1
0.24150741428389827,0.4335012435913086,0.0,0,18,1
0.4402693895837555,0.4677814543247223,0.0,0,19,1
0.32480329376964373,0.6280115246772766,0.5,1,21,1
0.19498398171155992,0.44663816690444946,0.0,0,20,1
0.3842381926532313,0.5125855207443237,1.0,0,30,1
0.13554277762924158,0.3194950222969055,0.0,0,8,0
0.4011777676669672,0.5233817100524902,1.0,0,22,1
0.22477518054531606,0.457397997379303,0.0,0,20,1
0.24481390312916562,0.42113226652145386,0.0,0,19,0
0.5570016905457964,0.6326252222061157,0.5,1,21,1
0.3013243021463572,0.5964560508728027,1.0,0,21,0
0.3226200844099664,0.4876641035079956,0.0,0,18,1
0.3574393206574077,0.528914749622345,1.0,0,30,1
0.36710595505852456,0.6331220269203186,0.0,0,30,1
0.3549551948083022,0.4836910665035248,0.0,0,18,1
0.38118955271914856,0.5345284938812256,0.0,0,29,1
0.3233049240517766,0.6591558456420898,0.0,1,25,0
0.2772418114400462,0.4617920517921448,0.0,0,19,1
0.31861277277555966,0.5193819403648376,1.0,0,21,0
0.2109079247547075,0.20825031399726868,1.0,0,30,1
0.3211760669271404,0.43385761976242065,0.0,0,17,1
0.45623006937491495,0.5564765334129333,0.0,0,30,1
0.117973108081033,0.25964033603668213,0.0,0,12,0
0.11284272641755119,0.34128299355506897,0.0,0,10,1
0.7223077587388573,0.8103843927383423,1.0,0,30,1
0.3247182383242694,0.6467078328132629,0.0,0,18,1
0.4495105430047663,0.5785396099090576,0.3333333333333333,2,30,1
0.27425072830288816,0.45743855834007263,1.0,0,17,0
0.35636883762138766,0.4317252039909363,0.0,0,28,1
0.22009094864770545,0.40410032868385315,1.0,0,24,1
0.31861264312200455,0.5436652302742004,0.0,0,26,1
0.49999120433838606,0.5381797552108765,0.0,0,30,1
0.5929036528746011,0.7010945081710815,1.0,0,30,1
0.6435139850648386,0.7109156250953674,1.0,0,30,1
0.17510619873547723,0.4012928009033203,1.0,0,17,1
0.30335184737713317,0.3627491593360901,0.0,0,21,0
0.17048793358303077,0.3930360674858093,0.0,0,20,0
0.27886349652930886,0.6113196611404419,0.0,0,21,1
0.2676553925689014,0.5358444452285767,0.16666666666666666,5,27,1
0.24999367778503925,0.4812709093093872,0.0,0,21,0
0.4351647789010499,0.6092003583908081,0.0,0,22,0
0.2947251333593932,0.47975608706474304,0.0,0,17,1
0.2570391433076471,0.4874016046524048,0.0,0,19,0
0.321911485010027,0.4877329468727112,0.16666666666666666,5,19,1
0.321240492345447,0.36837029457092285,1.0,0,30,0
0.17656509470164394,0.47611862421035767,0.0,0,18,1
0.2683350845228238,0.6629071235656738,0.0,0,22,1
0.5281841221969876,0.5552847981452942,0.5,1,19,1
0.33908309563319244,0.432519793510437,0.0,0,19,1
0.3729942461369907,0.6634589433670044,0.0,1,19,1
0.23596648336044726,0.39735233783721924,1.0,0,22,0
0.4806686359108914,0.6356896162033081,1.0,0,30,1
0.17592101408287494,0.35406193137168884,0.0,0,19,1
0.6076020243373124,0.7801089882850647,1.0,0,30,1
0.3258712672699354,0.4517285227775574,0.0,0,19,0
0.2893791167184724,0.44017714262008667,1.0,0,23,1
0.16355192353721648,0.279991090297699,1.0,0,21,1
0.14379237472953785,0.459486186504364,0.0,0,20,1
0.2143723548077243,0.5658247470855713,0.0,0,21,1
0.2982448114182945,0.592731237411499,0.0,1,25,0
0.1390453473711418,0.3305767774581909,0.0,0,9,0
0.2720412006110748,0.3475830554962158,0.0,0,19,0
0.11205318309318935,0.41160306334495544,0.0,0,11,1
0.22767686529025694,0.5003188252449036,0.0,0,23,0
0.41135379196985067,0.5938296914100647,1.0,0,20,1
0.5988802706603619,0.6834334135055542,0.0,1,30,1
0.16526767782447147,0.3897145390510559,0.0,0,11,0
0.3739991513257797,0.5434068441390991,0.3333333333333333,2,30,1
0.40842851730914553,0.6424463987350464,1.0,0,23,1
0.5614092697673494,0.45780032873153687,0.0,0,18,0
0.3364122676661563,0.3856063485145569,0.0,0,30,1
0.22416073489856025,0.5829397439956665,0.0,0,26,1
0.2704670630164903,0.4586990475654602,0.0,0,17,1
0.19854151396857045,0.5141668319702148,0.0,0,15,1
0.3018398871879981,0.5953468680381775,0.0,0,19,1
0.1976147168943794,0.40237271785736084,0.0,0,10,0
0.19862855053135292,0.3989185690879822,0.0,0,16,1
0.32039988362037314,0.4800567328929901,0.0,0,20,0
0.30701004192906745,0.40352576971054077,0.0,0,17,0
0.33823741272369706,0.4569302797317505,0.0,0,23,1
0.2380046063044972,0.46014511585235596,0.0,0,18,1
0.3519238276779021,0.528693437576294,0.0,0,20,1
0.4086227433778121,0.5054727792739868,0.0,0,27,1
0.17926368637114146,0.5021013021469116,0.0,0,19,1
0.24410314114088116,0.557329535484314,1.0,0,22,1
0.2435873512246954,0.49311381578445435,0.0,0,10,0
0.4640378663251824,0.5573427677154541,0.0,1,30,1
0.2500109784568433,0.5088050961494446,0.0,0,18,1
0.23385585905910886,0.40458494424819946,0.0,0,18,1
0.3788345871769937,0.4596363306045532,1.0,0,22,1
0.16306572789867044,0.3871512711048126,0.0,0,21,1
0.39012659755304047,0.5710357427597046,0.0,0,18,1
0.21122007208333834,0.4488047659397125,0.0,0,12,1
0.5870703233750196,0.668252170085907,0.0,1,30,1
0.23378672130954328,0.4618077278137207,1.0,0,21,0
0.11813921058443312,0.2187511920928955,1.0,0,17,1
0.2932095148665342,0.2942533493041992,0.0,0,14,0
0.375745343515954,0.3601858913898468,0.0,0,30,1
0.23318415052553068,0.5702738165855408,0.0,0,21,1
0.23797489451470183,0.4233826994895935,0.0,0,29,1
0.2559270614879375,0.44059866666793823,0.0,0,26,1
0.39793172341960686,0.6847976446151733,0.3333333333333333,4,22,1
0.26384982501904075,0.485119491815567,0.0,0,17,1
0.2968007956795475,0.3968196511268616,0.0,0,17,0
0.4149057003575012,0.4774872064590454,0.5,1,20,1
0.2063392395259187,0.4837871193885803,0.0,0,13,1
